"Header","2016","2017","2018","2019","2020","2021"
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",77,81,64.17,80.453,178.587,223.157
"Autres, France",5.7,7.1,5.6,8.7,6,3.1
"Carburant",0,0.1,0,0,0.2,0
"Centrales d'achats, grossistes, France",45.9,47.1,50.5,50.9,30.7,51.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",19353,19118,11378.177,16424.225,17285.485,19852.491
"De 120 m² à 400 m²",15.8,17.3,18.3,18,23.4,22.2
"De 400 m² à 2500 m²",10.2,14.6,12.2,6.6,11.1,12
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",67023,64306,44093.7,70037.6,60859.2,73595.7
"Ensemble  ",100,100,100,100,100,100
"Etranger",4.1,3.4,1,0.9,2.6,1.1
"Fabrication",1.2,0.7,0.7,1.2,3.8,3.2
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",168,152,133.069,123.599,141.413,175.32
"Grossistes, centrales d'achats, producteurs, étranger",15.2,15.3,12.4,14.8,41.8,35
"Marge commerciale (en millions d'euros)",6999,7033,3880.731,4985.45,4819.585,6014.1
"Nombre de magasins",19608,15797,12264,33468,17584,19471
"Nombre total d'entreprises",22260,21309,20450,20189,19328,19340
"Part du chiffre d'affaires provenant des ventes par Internet",1.6,1.4,4.1,2.3,4.9,7.5
"Producteurs, filiales de commercialisation, France",33.2,30.5,31.5,25.7,21.5,10.4
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",53,63,48.783,33.851,46.217,71.465
"Services",4.1,3.9,4.2,11.2,10.7,11.5
"Surface totale de vente (en m²)",4620081,4617005,3086825,6488737,5137379,6021132
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",174.4,223.1,128.5,140.9,343.3,259.7
"Taux d'Investissement : Investissements / Valeur Ajoutée ",11.9,10.6,11.9,17.8,9.7,11.5
"Taux de marge commerciale",38.3,38.7,35.9,34.7,32.7,35.5
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",24.6,28.4,19.9,26.5,32.6,35.3
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",9.4,11.9,8.3,11.4,14,15.9
"Total de ces dépenses",388,371,291.82,299.525,366.217,469.942
"Total de ces produits",51.4,62.2,60.8,69.8,62,55.9
"Vente au détail, hors carburant",74.4,72.4,93,84.9,78.2,81.8
"Vente aux particuliers",57.3,54.5,87,61.1,78.9,96.1
"Vente en gros",19.8,22.8,2,2.4,7.1,3.6
