Header,2016,2017
Nombre total d'entreprises,5955.0,5782.0
Chiffre d'affaires hors taxes (en millions d'euros),42255.0,43884.0
Marge commerciale (en millions d'euros),5696.0,6010.0
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,40281.0,38517.0
Part des entreprises ayant au moins une marque propre,18.2,18.0
Taux de marge commerciale,14.8,14.7
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.9,24.1
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,17.1,15.8
Taux d'Investissement : Investissements / Valeur Ajoutée ,3.4,4.8
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,356.3,350.9
Vente en gros,90.9,92.8
"Vente au détail, hors carburant",0.5,0.6
Fabrication,1.6,1.3
Services,7.0,5.3
Carburant,0.0,0.0
Réparation,0.0,0.0
Grande distribution et commerce organisé,15.7,14.4
Commerces indépendants,12.0,12.1
Détaillants (réseau propre ou non),9.5,8.1
Grossistes,11.0,9.8
Vente à des utilisateurs professionnels,28.9,30.5
Vente aux particuliers,0.8,1.1
Etranger,22.1,24.0
"Centrales d'achats, grossistes, France",14.6,15.4
"Producteurs, filiales de commercialisation, France",22.6,24.7
"Grossistes, centrales d'achats, producteurs, étranger",61.4,58.8
"Autres, France",1.4,1.1
Ensemble  ,100.0,100.0
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",247.0,178.0
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",676.0,550.0
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,257.0,226.0
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",156.0,148.0
Total de ces dépenses,1336.0,1101.0
4651ZO1 - Matériels informatiques,43.5,42.6
"4652ZO1 - Composants, équipements électroniques et télécommunication (yc Panneaux photovoltaïques)",14.5,17.6
4651ZA1 - Ordinateurs (yc. périphériques et logiciels),10.2,10.4
4652ZE1 - Matériel de téléphonie,9.8,7.3
Total de ces produits,78.1,78.0
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
