Header,2016,2017
Nombre total d'entreprises,45315,45031
Chiffre d'affaires hors taxes (en millions d'euros),16382,16583
Marge commerciale (en millions d'euros),5728,5707
Nombre de magasins,41170,37916
Surface totale de vente (en m²),3185667,3171768
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,67792,64502
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,0.4,0.2
Taux de marge commerciale,37.8,36.2
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,27.1,26.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,18.6,16.5
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.6,13.4
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,209.9,182.9
Vente en gros,4.5,4.8
"Vente au détail, hors carburant",92.3,92
Fabrication,0.2,0.2
Services,2.6,2.6
Carburant,0.3,0.4
Réparation,0,0
Moins de 20 m²,14.7,12.7
De 20 m² à 60 m²,51.2,48.2
De 60 m² à 120 m²,22.7,27.5
De 120 m² à 400 m²,9.7,9.6
De 400 m² à 2500 m²,1.7,1.9
De 2500 m² à 5000 m²,0,0
5000 m² ou plus,0,0
"Centrales d'achats, grossistes, France",55.3,53.3
"Producteurs, filiales de commercialisation, France",37.5,36.3
"Grossistes, centrales d'achats, producteurs, étranger",3.8,4
"Autres, France",3.4,6.4
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",29,30
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",42,38
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,40,37
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",51,62
Total de ces dépenses,162,167
4722ZA1 - Viandes,20,18.9
"4729ZO1 - Produits alimentaires divers (hors boissons, produits frais, épicerie sèche et conserves)",8.7,10.9
"4725ZA1 - Vins, spiritueux et liqueurs",6.7,9.2
"4721ZO1 - Fruits et légumes frais, pommes de terre",9.2,8.8
"4722ZO1 - Viandes et produits à base de viande (y compris conserves) [Familles IFLS :461, 468, 480]",5,N
Total de ces produits,49.7,47.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
