Header,2020,2021
Nombre total d'entreprises,54017,57283
Chiffre d'affaires hors taxes (en millions d'euros),21748.614,24318.421
Marge commerciale (en millions d'euros),3089.642,3570.794
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,104987.5,117413.7
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,24.1,24.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.2,20.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,11.4,12.9
Taux d'Investissement : Investissements / Valeur Ajoutée ,13.3,13.2
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,124.9,133.3
Vente en gros,0.9,0.8
"Vente au détail, hors carburant",0,0
Fabrication,4.1,4.1
Services,2.3,1.9
Carburant,3.6,3.5
Commerce et réparation d’automobiles et de motocycles,89,89.7
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",3.4,1.7
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",24.7,21.4
Vente aux particuliers,70.8,75.5
Etranger,1,1.4
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",68.4,85.4
"Producteurs, filiales de commercialisation, France",20.3,8.3
"Grossistes, centrales d'achats, producteurs, étranger",4.3,3
"Autres, France",7,3.3
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",44.909,63.747
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,14.59,18.152
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",58.566,46.669
Total de ces dépenses,118.065,128.568
9999Q.. - branche fictive du service commercial lié à la branche mixte 4520AA3,32.9,31.6
4532ZB1 - Vente à des particuliers de pièces et accessoires ou équipements simples posés lors de la réparation,20.2,21.8
4511ZE1 - Vente à des particuliers de voitures d'occasion,7.9,10.3
9999A.. - branche fictive du service commercial lié à la branche mixte 4520BB3,N,5.2
Total de ces produits,61.1,68.9
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
