"Header","2016","2017","2018","2019","2020","2021"
"     dont Autres entreprises",232.7,322.5,1016.631,757.601,328.88,347.136
"     dont Hors Union européenne",131.4,42.5,212.752,71.504,44.166,118.231
"     dont Opérateurs en ligne",20.7,21.9,74.883,131.628,70.054,93.427
"     dont Union européenne",825.1,830.5,668.072,886.385,529.861,695.75
"     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ",23.6,32.2,73.413,174.785,47.13,39.227
"5530Z - Terrains de camping et parcs pour caravanes ou véhicules de loisirs",2036.6,2282.2,2272.603,2257.593,1925.195,2334.7
"6820B - Location de terrains et d'autres biens immobiliers",156.4,196.2,NA,169.517,185.663,232.209
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",65.1,63.5,19.334,46.858,14.79,37.047
"Achats ou reversements de voyages organisés par d'autres entreprises",0.2,3.4,0.303,0.235,0.339,0.312
"Administrations",41.6,199.5,22.546,29.07,54.268,54.069
"Chiffre d'affaires hors taxes (en millions d'euros)",2732.1,3022.3,2852.204,2958.161,2602.857,3285.345
"Clientèle étrangère",956.5,873,880.824,957.889,574.027,813.981
"Clientèle nationale",1775.6,2149.3,1971.38,2000.272,2028.83,2471.364
"Commissions reversées à des confrères pour vente de voyages organisés",1.1,0.4,0.25,0.831,0.375,1.09
"Dépenses de promotion",51.6,55.2,30.151,58.602,40.575,45.708
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",16768,19029,14871.3,14444.7,15679.3,18776.9
"Entreprises",277.1,376.6,1164.927,1064.014,446.064,479.79
"Excédent Brut d'Exploitation (en millions d'euros)",488.7,540.9,525.117,527.252,484.367,879.039
"Frais de personnel (en millions d'euros)",674.3,803.7,686.021,719.041,639.545,743.535
"Investissements corporels bruts hors apports (en millions d'euros)",497.3,645.9,823.736,655.369,710.51,652.083
"Nombre total d'entreprises",5226,5109,5068,5072,4997,5028
"Particuliers",2413.5,2446.2,1664.73,1865.078,2102.526,2751.486
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",8.6,5.2,1.5,3.3,6,5.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.2,4.3,1.1,2.9,2,4.2
"Total de toutes les dépenses professionnelles",123.2,124.3,50.247,106.943,56.234,88.956
"Valeur ajoutée hors taxes (en millions d'euros)",1235.3,1417,1291.971,1324.542,1138.35,1507.969
