"Header","2016","2017","2018","2019","2020","2021"
"     dont Hors Union européenne",1483.2,1438.1,2086.787,2046.508,1456.225,1337.924
"     dont Union européenne",2975.3,3249.5,4420.084,4300.965,2695.598,3074.056
"5610A - Restauration traditionnelle",27438.3,28614.8,30143.47,30707.716,14830.488,15431.757
"5610C - Restauration de type rapide",15588.6,16986.9,17589.333,19106.657,11761.896,14312.422
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",10028.3,10802.2,3453.522,3692.915,2791.972,2864.899
"Administrations",654,797.8,855.847,1185.185,743.76,659.91
"Chiffre d'affaires hors taxes (en millions d'euros)",51191.2,53305,55412.334,58335.539,41227.551,45928.304
"Clientèle étrangère",4458.5,4687.6,6506.871,6347.473,4151.822,4411.98
"Clientèle nationale",46732.8,48617.4,48905.464,51988.066,37075.729,41516.324
"Commissions reversées à des opérateurs en ligne",3.4,8.4,2.059,2.683,1.871,2.926
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",480368,486701,456188,499052.9,380645.6,446706.3
"Entreprises",5347.7,6558.2,10136.716,8625.362,6429.912,5629.573
"Excédent Brut d'Exploitation (en millions d'euros)",3500.8,4560.2,4013.988,4729.512,2411.068,5996.922
"Frais de personnel (en millions d'euros)",17827.7,17998.2,19007.629,19911.783,14480.774,16209.198
"Investissements corporels bruts hors apports (en millions d'euros)",3033.7,3510.5,3166.641,3367.694,3175.691,3877.938
"Nombre total d'entreprises",161084,161421,158947,163835,165112,171356
"Particuliers",45189.5,45949.1,44419.771,48524.992,34053.879,39638.821
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",2,1.6,0.9,1.3,1.4,1.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.8,1.9,0.3,1.9,1.2,1.3
"Total de toutes les dépenses professionnelles",10076.1,10853.8,3459.883,3699.256,2806.762,2874.194
"Valeur ajoutée hors taxes (en millions d'euros)",22054,23271.5,23824.467,25425.834,15169.027,16474.352
