Header,2016,2017
Nombre total d'entreprises,1111,1185
Chiffre d'affaires hors taxes (en millions d'euros),2012.7,699.6
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,3024,1542
Valeur ajoutée hors taxes (en millions d'euros),569.2,234.8
Excédent Brut d'Exploitation (en millions d'euros),278,106.9
Frais de personnel (en millions d'euros),279.6,120.4
Investissements corporels bruts hors apports (en millions d'euros),39.3,11.3
Entreprises,1990.7,670.6
Administrations,0.3,2.8
Particuliers,21.7,26.2
Clientèle nationale,N,559.9
Clientèle étrangère,N,139.8
     dont Union européenne,N,95.1
     dont Hors Union européenne,N,44.7
Sous-traitance : études et prestations de services incorporées à la production,8.1,8.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.8,0.4
7740Z - Loc.-bail de prop. intell. et de prod. simil. sauf œuvres à copyright,N,439.4
4778A - Commerces de détail d'optique,N,182.8
