Header,2018,2019
Nombre total d'entreprises,5068,5072
Chiffre d'affaires hors taxes (en millions d'euros),2852.204,2958.161
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,14871.3,14444.7
Valeur ajoutée hors taxes (en millions d'euros),1291.971,1324.542
Excédent Brut d'Exploitation (en millions d'euros),525.117,527.252
Frais de personnel (en millions d'euros),686.021,719.041
Investissements corporels bruts hors apports (en millions d'euros),823.736,655.369
Entreprises,1164.927,1064.014
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,73.413,174.785
     dont Opérateurs en ligne,74.883,131.628
     dont Autres entreprises,1016.631,757.601
Administrations,22.546,29.07
Particuliers,1664.73,1865.078
Clientèle nationale,1971.38,2000.272
Clientèle étrangère,880.824,957.889
     dont Union européenne,668.072,886.385
     dont Hors Union européenne,212.752,71.504
Sous-traitance : études et prestations de services incorporées à la production,1.5,3.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.1,2.9
Dépenses de promotion,30.151,58.602
Achats de produits alimentaires (y compris boissons et plats cuisinés),19.334,46.858
Commissions reversées à des confrères pour vente de voyages organisés,0.25,0.831
Commissions reversées à des opérateurs en ligne,0.21,0.292
Achats ou reversements de voyages organisés par d'autres entreprises,0.303,0.235
Total de toutes les dépenses professionnelles,50.247,106.943
SO= Sans objet ; NR = Non renseigné.,,
5530Z - Terrains de camping et parcs pour caravanes ou véhicules de loisirs,2272.603,2257.593
6820B - Location de terrains et d'autres biens immobiliers,N,169.517
