Header,2018,2019
Nombre total d'entreprises,772,828
Chiffre d'affaires hors taxes (en millions d'euros),644.742,481.186
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,1015.1,2733.5
Valeur ajoutée hors taxes (en millions d'euros),226.388,266.445
Excédent Brut d'Exploitation (en millions d'euros),151.52,135.28
Frais de personnel (en millions d'euros),66.042,123.238
Investissements corporels bruts hors apports (en millions d'euros),63.349,17.74
Entreprises,359.878,127.298
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,187.499,252.264
Particuliers,97.365,101.624
Clientèle nationale,624.593,464.77
Clientèle étrangère,20.149,16.416
     dont Union européenne,0.933,10.627
     dont Hors Union européenne,19.217,5.789
Sous-traitance : études et prestations de services incorporées à la production,8.7,3.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.2,0.1
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8110Z - Activités combinées de soutien lié aux bâtiments,584.122,417.497
