Header,2018,2019
Nombre total d'entreprises,9345,9638
Chiffre d'affaires hors taxes (en millions d'euros),11881.242,15573.792
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,53063,61796
Valeur ajoutée hors taxes (en millions d'euros),5303.958,6388.141
Excédent Brut d'Exploitation (en millions d'euros),952.725,1309.724
Frais de personnel (en millions d'euros),4216.684,4979.108
Investissements corporels bruts hors apports (en millions d'euros),673.102,1096.476
Entreprises,10173.445,13666.191
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,350.898,353.969
Particuliers,1356.899,1553.632
Clientèle nationale,9425.314,12664.127
Clientèle étrangère,2455.928,2909.665
     dont Union européenne,1876.681,1651.803
     dont Hors Union européenne,579.248,1257.862
Sous-traitance : études et prestations de services incorporées à la production,8.8,14.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.3,2.3
"Achats de matériel et installations compris dans vos facturations ""clés en main""",751.536,637.16
Reversements ou redevances aux propriétaires des supports (activité de régie),12.342,10.506
Dépenses de publicité,0.132,8.505
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),2.943,4.039
Autres achats de biens et services entrant dans le coût de production des autres programmes audiovisuels;,0,3.528
Total de toutes les dépenses professionnelles,772.7,668.574
SO= Sans objet ; NR = Non renseigné.,,
"6311Z - Traitement de données, hébergement et activités connexes",7422.371,9321.316
6312Z - Portails Internet,1266.351,2343.562
