"Libellé";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes";"Cours des matières premières importées - Pétrole brut  Brent (Londres) – Prix en euros par baril";"Codes"
"idBank";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";"";"010002078";""
"Mises à jour";"22/03/2024 12:00";"";"16/02/2024 12:00";"";"24/01/2024 12:00";"";"22/12/2023 12:00";"";"17/11/2023 12:00";"";"20/10/2023 12:00";"";"22/09/2023 12:00";"";"25/08/2023 12:00";"";"27/07/2023 12:00";"";"23/06/2023 12:00";"";"17/05/2023 12:00";"";"21/04/2023 12:00";"";"17/03/2023 12:00";"";"17/02/2023 12:00";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-02";"77.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024-01";"73.4";"A";"73.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-12";"71.2";"A";"71.2";"A";"71.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-11";"76.8";"A";"76.8";"A";"76.8";"A";"76.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-10";"85.8";"A";"85.8";"A";"85.8";"A";"85.8";"A";"85.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-09";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-08";"78.9";"A";"78.9";"A";"78.9";"A";"78.9";"A";"78.9";"A";"78.9";"A";"78.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";""
