"Libellé";"Emplois salariés trimestriels - Ensemble des salariés - Toutes les sections (hors activités extra-territoriales) - CVS";"Codes"
"idBank";"001796852";""
"Dernière mise à jour";"29/02/2024 07:30";""
"Période";"";""
"2023-T4";"27077.6";"SD"
"2023-T3";"27065.7";"SD"
"2023-T2";"27004.9";"SD"
"2023-T1";"26983.1";"SD"
"2022-T4";"26927.7";"SD"
"2022-T3";"26841.3";"SD"
"2022-T2";"26731.7";"SD"
"2022-T1";"26630.0";"SD"
"2021-T4";"26537.5";"A"
"2021-T3";"26433.7";"A"
"2021-T2";"26248.0";"A"
"2021-T1";"25938.2";"A"
"2020-T4";"25722.4";"A"
"2020-T3";"25733.8";"A"
"2020-T2";"25216.0";"A"
"2020-T1";"25318.5";"A"
"2019-T4";"25795.0";"A"
"2019-T3";"25705.8";"A"
"2019-T2";"25617.5";"A"
"2019-T1";"25560.4";"A"
"2018-T4";"25419.1";"A"
"2018-T3";"25340.9";"A"
"2018-T2";"25361.9";"A"
"2018-T1";"25348.1";"A"
"2017-T4";"25277.8";"A"
"2017-T3";"25187.2";"A"
"2017-T2";"25179.1";"A"
"2017-T1";"25068.7";"A"
"2016-T4";"24958.8";"A"
"2016-T3";"24949.0";"A"
"2016-T2";"24870.6";"A"
"2016-T1";"24820.3";"A"
"2015-T4";"24770.3";"A"
"2015-T3";"24733.0";"A"
"2015-T2";"24708.5";"A"
"2015-T1";"24656.1";"A"
"2014-T4";"24668.1";"A"
"2014-T3";"24643.4";"A"
"2014-T2";"24674.2";"A"
"2014-T1";"24661.0";"A"
"2013-T4";"24657.2";"A"
"2013-T3";"24584.2";"A"
"2013-T2";"24536.9";"A"
"2013-T1";"24574.2";"A"
"2012-T4";"24574.9";"A"
"2012-T3";"24599.6";"A"
"2012-T2";"24628.0";"A"
"2012-T1";"24643.4";"A"
"2011-T4";"24644.0";"A"
"2011-T3";"24627.7";"A"
"2011-T2";"24636.9";"A"
"2011-T1";"24610.3";"A"
"2010-T4";"24575.2";"A"
