"Libellé";"Enquête mensuelle dans le commerce de détail et l'automobile - Indicateur synthétique du climat des affaires - Série CVS";"Codes"
"idBank";"001580428";""
"Dernière mise à jour";"21/03/2024 08:45";""
"Période";"";""
"2024-03";"101.1";"SD"
"2024-02";"99.5";"A"
"2024-01";"103.8";"A"
"2023-12";"99.6";"A"
"2023-11";"96.5";"A"
"2023-10";"98.0";"A"
"2023-09";"102.7";"A"
"2023-08";"105.0";"A"
"2023-07";"105.7";"A"
"2023-06";"101.7";"A"
"2023-05";"96.6";"A"
"2023-04";"100.0";"A"
"2023-03";"97.5";"A"
"2023-02";"100.1";"A"
"2023-01";"99.4";"A"
"2022-12";"98.7";"A"
"2022-11";"96.1";"A"
"2022-10";"97.5";"A"
"2022-09";"96.8";"A"
"2022-08";"99.1";"A"
"2022-07";"95.4";"A"
"2022-06";"94.5";"A"
"2022-05";"94.1";"A"
"2022-04";"91.1";"A"
"2022-03";"98.6";"A"
"2022-02";"105.7";"A"
"2022-01";"104.0";"A"
"2021-12";"106.8";"A"
"2021-11";"107.9";"A"
"2021-10";"106.6";"A"
"2021-09";"108.0";"A"
"2021-08";"110.1";"A"
"2021-07";"114.2";"A"
"2021-06";"116.4";"A"
"2021-05";"107.8";"A"
"2021-04";"91.7";"A"
"2021-03";"96.4";"A"
"2021-02";"89.2";"A"
"2021-01";"93.6";"A"
"2020-12";"93.5";"A"
"2020-11";"70.8";"U"
"2020-10";"98.0";"A"
"2020-09";"98.0";"A"
"2020-08";"96.8";"U"
"2020-07";"90.4";"U"
"2020-06";"86.6";"U"
"2020-05";"61.5";"U"
"2020-04";"58.1";"U"
"2020-03";"93.6";"U"
"2020-02";"107.3";"A"
"2020-01";"106.8";"A"
"2019-12";"108.7";"A"
"2019-11";"106.7";"A"
"2019-10";"106.6";"A"
"2019-09";"107.1";"A"
"2019-08";"103.4";"A"
"2019-07";"106.1";"A"
"2019-06";"104.8";"A"
"2019-05";"104.9";"A"
"2019-04";"107.8";"A"
"2019-03";"105.1";"A"
"2019-02";"103.5";"A"
"2019-01";"102.1";"A"
"2018-12";"100.2";"A"
"2018-11";"107.5";"A"
"2018-10";"107.6";"A"
"2018-09";"110.1";"A"
"2018-08";"116.1";"A"
"2018-07";"113.9";"A"
"2018-06";"113.7";"A"
"2018-05";"113.1";"A"
"2018-04";"113.6";"A"
"2018-03";"114.5";"A"
"2018-02";"117.0";"A"
"2018-01";"117.3";"A"
"2017-12";"116.8";"A"
"2017-11";"116.2";"A"
"2017-10";"116.7";"A"
"2017-09";"113.5";"A"
"2017-08";"111.2";"A"
"2017-07";"112.0";"A"
"2017-06";"111.2";"A"
"2017-05";"107.1";"A"
"2017-04";"105.7";"A"
"2017-03";"107.9";"A"
"2017-02";"107.6";"A"
"2017-01";"108.9";"A"
"2016-12";"108.2";"A"
"2016-11";"103.2";"A"
"2016-10";"102.0";"A"
"2016-09";"102.9";"A"
"2016-08";"104.6";"A"
"2016-07";"104.6";"A"
"2016-06";"104.0";"A"
"2016-05";"106.2";"A"
"2016-04";"103.0";"A"
"2016-03";"103.9";"A"
"2016-02";"102.6";"A"
"2016-01";"104.3";"A"
"2015-12";"101.6";"A"
