"Libellé";"Enquête de conjoncture dans les services (en NAF rév. 2) - Indicateur synthétique du climat des affaires dans les services";"Codes"
"idBank";"001587025";""
"Dernière mise à jour";"21/03/2024 08:45";""
"Période";"";""
"2024-03";"102.3";"A"
"2024-02";"99.7";"A"
"2024-01";"101.4";"A"
"2023-12";"100.1";"A"
"2023-11";"99.5";"A"
"2023-10";"99.9";"A"
"2023-09";"101.5";"A"
"2023-08";"101.6";"A"
"2023-07";"101.6";"A"
"2023-06";"101.9";"A"
"2023-05";"101.3";"A"
"2023-04";"103.0";"A"
"2023-03";"104.7";"A"
"2023-02";"105.2";"A"
"2023-01";"104.4";"A"
"2022-12";"103.5";"A"
"2022-11";"103.4";"A"
"2022-10";"104.4";"A"
"2022-09";"105.6";"A"
"2022-08";"106.5";"A"
"2022-07";"106.1";"A"
"2022-06";"107.5";"A"
"2022-05";"108.7";"A"
"2022-04";"108.3";"A"
"2022-03";"108.7";"A"
"2022-02";"111.6";"A"
"2022-01";"105.1";"A"
"2021-12";"107.1";"A"
"2021-11";"113.5";"A"
"2021-10";"112.5";"A"
"2021-09";"110.2";"A"
"2021-08";"108.7";"A"
"2021-07";"110.9";"A"
"2021-06";"112.4";"A"
"2021-05";"106.5";"A"
"2021-04";"91.4";"A"
"2021-03";"93.8";"A"
"2021-02";"87.6";"A"
"2021-01";"91.0";"A"
"2020-12";"89.3";"A"
"2020-11";"75.8";"A"
"2020-10";"87.3";"A"
"2020-09";"93.7";"A"
"2020-08";"93.5";"U"
"2020-07";"88.5";"U"
"2020-06";"77.6";"U"
"2020-05";"49.7";"U"
"2020-04";"38.8";"U"
"2020-03";"92.3";"U"
"2020-02";"105.7";"A"
"2020-01";"106.0";"A"
"2019-12";"106.4";"A"
"2019-11";"105.8";"A"
"2019-10";"105.2";"A"
"2019-09";"105.7";"A"
"2019-08";"105.1";"A"
"2019-07";"104.7";"A"
"2019-06";"105.6";"A"
"2019-05";"105.5";"A"
"2019-04";"105.5";"A"
"2019-03";"104.7";"A"
"2019-02";"103.6";"A"
"2019-01";"103.5";"A"
"2018-12";"101.8";"A"
"2018-11";"103.5";"A"
"2018-10";"102.9";"A"
"2018-09";"104.4";"A"
"2018-08";"104.0";"A"
"2018-07";"104.3";"A"
"2018-06";"104.3";"A"
"2018-05";"104.3";"A"
"2018-04";"105.9";"A"
"2018-03";"106.9";"A"
"2018-02";"106.8";"A"
"2018-01";"107.6";"A"
"2017-12";"108.7";"A"
"2017-11";"107.1";"A"
"2017-10";"106.4";"A"
"2017-09";"106.5";"A"
"2017-08";"106.3";"A"
"2017-07";"103.8";"A"
"2017-06";"103.2";"A"
"2017-05";"102.8";"A"
"2017-04";"103.2";"A"
"2017-03";"103.2";"A"
"2017-02";"102.9";"A"
"2017-01";"101.6";"A"
"2016-12";"103.5";"A"
"2016-11";"100.8";"A"
"2016-10";"100.7";"A"
"2016-09";"100.7";"A"
"2016-08";"100.1";"A"
"2016-07";"100.3";"A"
"2016-06";"99.1";"A"
"2016-05";"100.7";"A"
"2016-04";"98.2";"A"
"2016-03";"99.4";"A"
"2016-02";"99.8";"A"
"2016-01";"100.1";"A"
"2015-12";"97.0";"A"
"2015-11";"99.2";"A"
"2015-10";"99.4";"A"
"2015-09";"97.5";"A"
"2015-08";"98.5";"A"
"2015-07";"97.4";"A"
"2015-06";"96.8";"A"
"2015-05";"95.4";"A"
"2015-04";"93.9";"A"
"2015-03";"92.3";"A"
"2015-02";"91.4";"A"
"2015-01";"91.1";"A"
"2014-12";"91.3";"A"
"2014-11";"91.2";"A"
"2014-10";"91.1";"A"
"2014-09";"91.0";"A"
"2014-08";"91.5";"A"
"2014-07";"92.5";"A"
"2014-06";"92.2";"A"
"2014-05";"92.2";"A"
"2014-04";"93.2";"A"
"2014-03";"93.1";"A"
"2014-02";"92.2";"A"
"2014-01";"92.2";"A"
"2013-12";"90.9";"A"
"2013-11";"92.4";"A"
"2013-10";"91.8";"A"
"2013-09";"92.3";"A"
"2013-08";"88.7";"A"
"2013-07";"86.6";"A"
"2013-06";"86.0";"A"
"2013-05";"84.7";"A"
"2013-04";"83.3";"A"
"2013-03";"84.2";"A"
"2013-02";"87.1";"A"
"2013-01";"88.2";"A"
"2012-12";"87.2";"A"
"2012-11";"85.6";"A"
"2012-10";"86.1";"A"
"2012-09";"87.2";"A"
"2012-08";"87.5";"A"
"2012-07";"89.6";"A"
"2012-06";"90.1";"A"
"2012-05";"92.0";"A"
"2012-04";"95.6";"A"
"2012-03";"93.3";"A"
"2012-02";"92.0";"A"
"2012-01";"92.5";"A"
"2011-12";"94.6";"A"
"2011-11";"95.1";"A"
"2011-10";"97.2";"A"
"2011-09";"98.3";"A"
"2011-08";"100.5";"A"
"2011-07";"105.1";"A"
"2011-06";"107.1";"A"
"2011-05";"107.4";"A"
"2011-04";"108.8";"A"
"2011-03";"110.3";"A"
"2011-02";"109.1";"A"
"2011-01";"107.1";"A"
"2010-12";"106.7";"A"
"2010-11";"104.7";"A"
"2010-10";"102.8";"A"
"2010-09";"101.6";"A"
"2010-08";"100.6";"A"
"2010-07";"99.1";"A"
"2010-06";"98.3";"A"
"2010-05";"99.3";"A"
"2010-04";"97.7";"A"
"2010-03";"94.4";"A"
"2010-02";"94.3";"A"
"2010-01";"94.0";"A"
"2009-12";"92.6";"A"
"2009-11";"92.2";"A"
"2009-10";"90.6";"A"
"2009-09";"87.5";"A"
"2009-08";"84.2";"A"
"2009-07";"81.7";"A"
"2009-06";"77.9";"A"
"2009-05";"73.3";"A"
"2009-04";"69.1";"A"
"2009-03";"68.7";"A"
"2009-02";"73.8";"A"
"2009-01";"75.0";"A"
"2008-12";"77.6";"A"
"2008-11";"80.5";"A"
"2008-10";"84.5";"A"
"2008-09";"93.1";"A"
"2008-08";"95.1";"A"
"2008-07";"96.6";"A"
"2008-06";"101.0";"A"
"2008-05";"104.2";"A"
"2008-04";"106.7";"A"
"2008-03";"108.4";"A"
"2008-02";"108.4";"A"
"2008-01";"110.3";"A"
"2007-12";"108.9";"A"
"2007-11";"110.1";"A"
"2007-10";"109.9";"A"
"2007-09";"111.4";"A"
"2007-08";"112.2";"A"
"2007-07";"113.0";"A"
"2007-06";"112.5";"A"
"2007-05";"112.8";"A"
"2007-04";"112.9";"A"
"2007-03";"113.2";"A"
"2007-02";"112.3";"A"
"2007-01";"110.8";"A"
"2006-12";"111.2";"A"
"2006-11";"112.9";"A"
"2006-10";"110.7";"A"
"2006-09";"110.5";"A"
"2006-08";"110.4";"A"
"2006-07";"110.3";"A"
"2006-06";"109.1";"A"
"2006-05";"110.4";"A"
"2006-04";"107.7";"A"
"2006-03";"107.4";"A"
"2006-02";"106.2";"A"
"2006-01";"108.9";"A"
"2005-12";"106.9";"A"
"2005-11";"106.5";"A"
"2005-10";"108.3";"A"
"2005-09";"106.8";"A"
"2005-08";"107.1";"A"
"2005-07";"107.5";"A"
"2005-06";"108.2";"A"
"2005-05";"106.0";"A"
"2005-04";"107.9";"A"
"2005-03";"108.2";"A"
"2005-02";"106.3";"A"
"2005-01";"106.4";"A"
"2004-12";"109.0";"A"
"2004-11";"105.7";"A"
"2004-10";"106.2";"A"
"2004-09";"104.9";"A"
"2004-08";"105.7";"A"
