"Libellé";"Enquête mensuelle de conjoncture auprès des ménages - Indicateur synthétique de confiance des ménages (premier facteur des soldes d'opinion de l'enquête) - Données CVS";"Codes"
"idBank";"001587668";""
"Dernière mise à jour";"27/02/2024 08:45";""
"Période";"";""
"2024-02";"89";"A"
"2024-01";"91";"A"
"2023-12";"89";"A"
"2023-11";"88";"A"
"2023-10";"85";"A"
"2023-09";"85";"A"
"2023-08";"86";"A"
"2023-07";"87";"A"
"2023-06";"85";"A"
"2023-05";"83";"A"
"2023-04";"83";"A"
"2023-03";"82";"A"
"2023-02";"82";"A"
"2023-01";"82";"A"
"2022-12";"82";"A"
"2022-11";"84";"A"
"2022-10";"83";"A"
"2022-09";"81";"A"
"2022-08";"83";"A"
"2022-07";"80";"A"
"2022-06";"82";"A"
"2022-05";"85";"A"
"2022-04";"87";"A"
"2022-03";"89";"A"
"2022-02";"97";"A"
"2022-01";"98";"A"
"2021-12";"99";"A"
"2021-11";"98";"A"
"2021-10";"100";"A"
"2021-09";"103";"A"
"2021-08";"100";"A"
"2021-07";"103";"A"
"2021-06";"105";"A"
"2021-05";"99";"A"
"2021-04";"97";"A"
"2021-03";"96";"A"
"2021-02";"92";"A"
"2021-01";"93";"A"
"2020-12";"96";"A"
"2020-11";"89";"A"
"2020-10";"94";"A"
"2020-09";"95";"A"
"2020-08";"94";"A"
"2020-07";"93";"A"
"2020-06";"95";"A"
"2020-05";"89";"A"
"2020-04";"91";"A"
"2020-03";"103";"A"
"2020-02";"105";"A"
"2020-01";"104";"A"
"2019-12";"102";"A"
"2019-11";"106";"A"
"2019-10";"105";"A"
"2019-09";"104";"A"
"2019-08";"103";"A"
"2019-07";"102";"A"
"2019-06";"101";"A"
"2019-05";"100";"A"
"2019-04";"99";"A"
"2019-03";"98";"A"
"2019-02";"97";"A"
"2019-01";"94";"A"
"2018-12";"89";"A"
"2018-11";"92";"A"
"2018-10";"96";"A"
"2018-09";"94";"A"
"2018-08";"97";"A"
"2018-07";"97";"A"
"2018-06";"97";"A"
"2018-05";"100";"A"
"2018-04";"102";"A"
"2018-03";"102";"A"
"2018-02";"101";"A"
"2018-01";"105";"A"
"2017-12";"107";"A"
"2017-11";"104";"A"
"2017-10";"100";"A"
"2017-09";"102";"A"
"2017-08";"103";"A"
"2017-07";"105";"A"
"2017-06";"109";"A"
"2017-05";"103";"A"
"2017-04";"101";"A"
"2017-03";"102";"A"
"2017-02";"102";"A"
"2017-01";"102";"A"
"2016-12";"101";"A"
"2016-11";"100";"A"
"2016-10";"99";"A"
"2016-09";"98";"A"
"2016-08";"97";"A"
"2016-07";"97";"A"
"2016-06";"97";"A"
"2016-05";"99";"A"
"2016-04";"95";"A"
"2016-03";"96";"A"
"2016-02";"97";"A"
"2016-01";"99";"A"
"2015-12";"98";"A"
