"Libellé";"Indice de volume des ventes - Ensemble du Commerce (NAF rév. 2, Section G)";"Codes"
"idBank";"010542961";""
"Dernière mise à jour";"29/02/2024 08:45";""
"Période";"";""
"2023-12";"117.72";"P"
"2023-11";"116.87";"SD"
"2023-10";"117.62";"SD"
"2023-09";"117.89";"SD"
"2023-08";"118.76";"SD"
"2023-07";"118.41";"SD"
"2023-06";"118.82";"SD"
"2023-05";"117.83";"SD"
"2023-04";"116.04";"SD"
"2023-03";"117.69";"SD"
"2023-02";"118.43";"SD"
"2023-01";"118.37";"SD"
"2022-12";"117.74";"SD"
"2022-11";"119.52";"SD"
"2022-10";"118.94";"SD"
"2022-09";"120.23";"SD"
"2022-08";"119.08";"SD"
"2022-07";"116.65";"SD"
"2022-06";"118.51";"SD"
"2022-05";"118.25";"SD"
"2022-04";"119.08";"SD"
"2022-03";"119.77";"SD"
"2022-02";"120.13";"SD"
"2022-01";"119.01";"SD"
"2021-12";"118.04";"SD"
"2021-11";"119.19";"A"
"2021-10";"117.55";"A"
"2021-09";"116.78";"A"
"2021-08";"117.57";"A"
"2021-07";"117.19";"A"
"2021-06";"119.21";"A"
"2021-05";"114.49";"A"
"2021-04";"113.07";"A"
"2021-03";"116.26";"A"
"2021-02";"114.47";"A"
"2021-01";"114.64";"A"
"2020-12";"115.53";"A"
"2020-11";"105.07";"A"
"2020-10";"115.12";"A"
"2020-09";"113.8";"A"
"2020-08";"115.92";"A"
"2020-07";"115.59";"A"
"2020-06";"114.26";"A"
"2020-05";"99.57";"A"
"2020-04";"74.26";"A"
"2020-03";"91.63";"A"
"2020-02";"112.33";"A"
"2020-01";"112.82";"A"
"2019-12";"112.72";"A"
"2019-11";"112.89";"A"
"2019-10";"112.97";"A"
"2019-09";"112.83";"A"
"2019-08";"113.15";"A"
"2019-07";"112.59";"A"
"2019-06";"111.81";"A"
"2019-05";"112.42";"A"
"2019-04";"112.82";"A"
"2019-03";"111.09";"A"
"2019-02";"111.55";"A"
"2019-01";"110.21";"A"
"2018-12";"108.95";"A"
"2018-11";"109.45";"A"
"2018-10";"110.83";"A"
"2018-09";"108.28";"A"
"2018-08";"109.45";"A"
"2018-07";"108.8";"A"
"2018-06";"109.67";"A"
"2018-05";"109.72";"A"
"2018-04";"108.59";"A"
"2018-03";"108.5";"A"
"2018-02";"107.92";"A"
"2018-01";"107.41";"A"
"2017-12";"109.3";"A"
"2017-11";"108.6";"A"
"2017-10";"106.51";"A"
"2017-09";"108.34";"A"
"2017-08";"106.73";"A"
"2017-07";"107.79";"A"
"2017-06";"106.2";"A"
"2017-05";"106.02";"A"
"2017-04";"104.48";"A"
"2017-03";"106.06";"A"
"2017-02";"104.83";"A"
"2017-01";"104.1";"A"
"2016-12";"103.67";"A"
"2016-11";"104.55";"A"
"2016-10";"102.85";"A"
"2016-09";"102.37";"A"
"2016-08";"102.24";"A"
"2016-07";"101.63";"A"
"2016-06";"101.58";"A"
"2016-05";"102.61";"A"
"2016-04";"102.26";"A"
"2016-03";"102.59";"A"
"2016-02";"102.7";"A"
"2016-01";"102.47";"A"
"2015-12";"101.45";"A"
"2015-11";"100.13";"A"
"2015-10";"100.3";"A"
"2015-09";"100.69";"A"
"2015-08";"99.98";"A"
"2015-07";"100.42";"A"
"2015-06";"100.58";"A"
"2015-05";"99.58";"A"
"2015-04";"99.98";"A"
"2015-03";"99.0";"A"
"2015-02";"98.74";"A"
"2015-01";"99.15";"A"
"2014-12";"98.22";"A"
"2014-11";"98.03";"A"
"2014-10";"98.26";"A"
"2014-09";"98.56";"A"
"2014-08";"98.47";"A"
"2014-07";"97.41";"A"
"2014-06";"98.25";"A"
"2014-05";"96.9";"A"
"2014-04";"97.95";"A"
"2014-03";"97.61";"A"
"2014-02";"97.99";"A"
"2014-01";"97.19";"A"
"2013-12";"98.3";"A"
"2013-11";"97.88";"A"
"2013-10";"97.28";"A"
"2013-09";"97.13";"A"
"2013-08";"97.38";"A"
"2013-07";"96.49";"A"
"2013-06";"95.92";"A"
"2013-05";"97.18";"A"
"2013-04";"96.68";"A"
"2013-03";"95.69";"A"
"2013-02";"96.07";"A"
"2013-01";"96.18";"A"
"2012-12";"96.45";"A"
"2012-11";"95.55";"A"
"2012-10";"96.9";"A"
"2012-09";"96.22";"A"
"2012-08";"96.66";"A"
"2012-07";"97.12";"A"
"2012-06";"97.11";"A"
"2012-05";"97.05";"A"
"2012-04";"95.48";"A"
"2012-03";"96.96";"A"
"2012-02";"96.03";"A"
"2012-01";"96.61";"A"
"2011-12";"95.76";"A"
"2011-11";"97.7";"A"
"2011-10";"96.93";"A"
"2011-09";"96.35";"A"
"2011-08";"95.98";"A"
"2011-07";"96.7";"A"
"2011-06";"95.95";"A"
"2011-05";"94.89";"A"
"2011-04";"96.87";"A"
"2011-03";"96.05";"A"
"2011-02";"96.43";"A"
"2011-01";"95.43";"A"
"2010-12";"94.35";"A"
"2010-11";"95.51";"A"
"2010-10";"94.12";"A"
"2010-09";"93.88";"A"
"2010-08";"92.9";"A"
"2010-07";"93.55";"A"
"2010-06";"92.54";"A"
"2010-05";"92.98";"A"
"2010-04";"92.34";"A"
"2010-03";"91.99";"A"
"2010-02";"91.28";"A"
"2010-01";"90.63";"A"
"2009-12";"92.02";"A"
"2009-11";"90.81";"A"
"2009-10";"90.95";"A"
"2009-09";"90.89";"A"
"2009-08";"90.5";"A"
"2009-07";"90.31";"A"
"2009-06";"90.82";"A"
"2009-05";"90.14";"A"
"2009-04";"89.86";"A"
"2009-03";"89.87";"A"
"2009-02";"90.04";"A"
"2009-01";"91.11";"A"
"2008-12";"91.93";"A"
"2008-11";"91.05";"A"
"2008-10";"91.66";"A"
"2008-09";"92.84";"A"
"2008-08";"92.58";"A"
"2008-07";"91.63";"A"
"2008-06";"92.14";"A"
"2008-05";"92.08";"A"
"2008-04";"92.6";"A"
"2008-03";"92.18";"A"
"2008-02";"93.15";"A"
"2008-01";"93.25";"A"
"2007-12";"91.75";"A"
"2007-11";"91.27";"A"
"2007-10";"92.28";"A"
"2007-09";"90.72";"A"
"2007-08";"91.26";"A"
"2007-07";"91.19";"A"
"2007-06";"91.21";"A"
"2007-05";"91.75";"A"
"2007-04";"90.65";"A"
"2007-03";"91.29";"A"
"2007-02";"90.81";"A"
"2007-01";"89.82";"A"
"2006-12";"89.86";"A"
"2006-11";"89.48";"A"
"2006-10";"88.82";"A"
"2006-09";"88.73";"A"
"2006-08";"88.24";"A"
"2006-07";"89.18";"A"
"2006-06";"88.6";"A"
"2006-05";"88.96";"A"
"2006-04";"88.22";"A"
"2006-03";"87.51";"A"
"2006-02";"87.41";"A"
"2006-01";"87.24";"A"
"2005-12";"87.35";"A"
"2005-11";"88.58";"A"
"2005-10";"86.83";"A"
"2005-09";"87.16";"A"
"2005-08";"86.68";"A"
"2005-07";"86.79";"A"
"2005-06";"85.34";"A"
"2005-05";"85.39";"A"
"2005-04";"86.16";"A"
"2005-03";"85.84";"A"
"2005-02";"85.49";"A"
"2005-01";"85.6";"A"
