"Libellé";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes";"Comptes trimestriels (base 2014) - Évolution du Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO";"Codes"
"idBank";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";"";"010565692";""
"Mises à jour";"29/02/2024 08:45";"";"29/02/2024 08:45";"";"30/01/2024 07:30";"";"30/11/2023 08:45";"";"31/10/2023 07:30";"";"31/08/2023 08:45";"";"28/07/2023 07:30";"";"28/07/2023 07:30";"";"31/05/2023 08:45";"";"28/04/2023 07:30";"";"28/02/2023 08:45";"";"31/01/2023 07:30";"";"30/11/2022 08:45";"";"28/10/2022 07:30";"";"31/08/2022 08:45";"";"29/07/2022 07:30";"";"31/05/2022 08:45";"";"29/04/2022 07:30";"";"07/04/2022 08:57";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-T4";"0.1";"A";"0.1";"A";"0.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-T3";"0.0";"A";"0.0";"A";"0.0";"A";"-0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-T2";"0.6";"A";"0.6";"A";"0.7";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.5";"A";"0.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023-T1";"0.0";"A";"0.0";"A";"0.0";"A";"0.1";"A";"0.1";"A";"0.0";"A";"0.1";"A";"0.1";"A";"0.2";"A";"0.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022-T4";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.0";"A";"0.0";"A";"0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022-T3";"0.6";"A";"0.6";"A";"0.6";"A";"0.5";"A";"0.5";"A";"0.3";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.1";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"";"";"";"";"";"";"";"";"";""
"2022-T2";"0.3";"A";"0.3";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.4";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"0.5";"A";"";"";"";"";"";""
